chr1 3514592 3515578 986
chr1 3670608 3672692 2084
chr1 4028980 4029622 642
chr1 4491828 4493275 1447
chr1 4496500 4497471 971
chr1 4537317 4538784 1467
chr1 4543854 4544995 1141
chr1 4571410 4572231 821
chr1 4598426 4598840 414
chr1 4763268 4763610 342
chr1 4773587 4773672 85
chr1 4775110 4776026 916
chr1 4780145 4780372 227
chr1 4784161 4784542 381
chr1 4785322 4786022 700
chr1 4801477 4802892 1415
chr1 4807387 4808471 1084
chr1 4842101 4842615 514
chr1 4857263 4858532 1269
chr1 5018736 5020290 1554
chr1 5022881 5023089 208
chr1 5082847 5083677 830
chr1 5108777 5108990 213
chr1 5170402 5170862 460
chr1 6065412 6065840 428
chr1 6188242 6188867 625
chr1 6213981 6215549 1568
chr1 6272293 6272551 258
chr1 6282527 6282758 231
chr1 6344280 6344404 124
chr1 6358997 6359589 592
chr1 6382633 6383196 563
chr1 6406381 6406745 364
chr1 6441311 6441639 328
chr1 6510105 6511253 1148
chr1 6624443 6624754 311
chr1 6658319 6658764 445
chr1 6668480 6668836 356
chr1 6904569 6905123 554
chr1 6906352 6906737 385
chr1 6973683 6974289 606
chr1 7088266 7089961 1695
chr1 7205971 7207010 1039
chr1 7313529 7313935 406
chr1 7388575 7388969 394
chr1 7397044 7398643 1599
chr1 7412055 7412257 202
chr1 7414123 7414492 369
chr1 7495314 7495657 343
chr1 7498956 7499508 552
chr1 7502359 7502794 435
chr1 9127750 9128209 459
chr1 9148899 9149362 463
chr1 9208774 9209548 774
chr1 9299780 9299888 108
chr1 9381044 9381290 246
chr1 9535718 9536318 600
chr1 9541208 9541678 470
chr1 9544928 9546712 1784
chr1 9547827 9548344 517
chr1 9563726 9565715 1989
chr1 9573272 9573553 281
chr1 9627360 9627798 438
chr1 9699729 9701265 1536
chr1 9703085 9703423 338
chr1 9747340 9749006 1666
chr1 9772782 9773122 340
chr1 9780218 9780730 512
chr1 9797769 9798666 897
chr1 9847840 9848889 1049
chr1 9943589 9944447 858
chr1 9947333 9948077 744
chr1 9967000 9968387 1387
chr1 9981712 9982010 298
chr1 9983006 9983387 381
chr1 9988527 9988820 293
chr1 10002502 10002692 190
chr1 10007265 10007379 114
chr1 10008968 10009163 195
chr1 10037449 10038432 983
chr1 10039296 10040474 1178
chr1 10089568 10089823 255
chr1 10123897 10124579 682
chr1 10142739 10143325 586
chr1 10198070 10198300 230
chr1 10226958 10227256 298
chr1 10231596 10233646 2050
chr1 10254153 10255385 1232
chr1 10256557 10257878 1321
chr1 10285353 10285971 618
chr1 12820162 12820257 95
chr1 12875431 12875845 414
chr1 12990324 12992959 2635
chr1 13052200 13052382 182
chr1 13118749 13119084 335
chr1 13289995 13290183 188
chr1 13293368 13293612 244
chr1 13301350 13301925 575
chr1 13304936 13305389 453
chr1 13324851 13324862 11
chr1 13363725 13364082 357
chr1 13367639 13367821 182
chr1 13372013 13374833 2820
chr1 13426399 13427258 859
chr1 13561566 13561903 337
chr1 13588900 13590369 1469
chr1 13639639 13639864 225
