""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"chr16-30048870-30053981"	5.40997140133111e-14	0.360470491614233	0.746	0.329	6.63349053345616e-09
"chr15-67467363-67468048"	8.71053852455727e-13	0.491344336326735	0.287	0.056	1.06805139172711e-07
"chr5-129123522-129124412"	8.89687874069156e-13	0.489470178251186	0.303	0.058	1.09089968366864e-07
"chr8-26840126-26841781"	4.55843057503406e-12	0.39553221143266	0.525	0.185	5.58936523388377e-07
"chr7-130042125-130045121"	4.96599087349377e-12	0.386549965418003	0.566	0.211	6.08909936944312e-07
"chr1-178600209-178601607"	1.07664356738257e-11	0.407835022789397	0.467	0.149	1.32013727658181e-06
"chr17-65548501-65549176"	1.36149610401686e-11	0.459216521548007	0.189	0.019	1.66941206290131e-06
"chr18-57604094-57605473"	1.64780356107799e-11	0.437105489239875	0.361	0.089	2.02047081445138e-06
"chr9-35038811-35054129"	1.70817779117181e-11	-0.278996696833613	0.164	0.342	2.09449928042322e-06
"chr8-35193751-35194302"	2.23381833949653e-11	0.480675787016544	0.213	0.027	2.73901869515706e-06
"chr8-23731307-23733385"	3.26357620575952e-11	0.442339834585434	0.279	0.048	4.00166660045409e-06
"chr16-44665406-44666972"	3.60980323207363e-11	0.393962891600559	0.475	0.152	4.4261963310394e-06
"chr6-134292309-134293036"	3.94857269499034e-11	0.449003544657755	0.27	0.051	4.84158189568936e-06
"chr7-96901920-96905075"	4.28588176022815e-11	0.416666488385869	0.361	0.108	5.25517677912135e-06
"chr13-53338742-53339671"	4.35875716693651e-11	0.424981000283045	0.361	0.107	5.34453368781087e-06
"chr19-32362231-32363087"	4.53587395791588e-11	0.455213806338945	0.23	0.046	5.56170721223814e-06
"chr9-35412234-35413440"	6.96015799573693e-11	0.427833801181344	0.287	0.063	8.53426732805279e-06
"chr6-134091256-134092022"	7.79883198566336e-11	0.454736073831374	0.221	0.03	9.56261582754098e-06
"chr11-83882450-83884157"	1.43203382698731e-10	0.365100583231573	0.549	0.199	1.75590259729876e-05
"chr16-90180973-90182283"	1.86910299874914e-10	0.380988919396011	0.5	0.166	2.29181933294625e-05
"chr10-24380807-24381240"	1.88208144393373e-10	0.450277151559738	0.164	0.019	2.30773298329379e-05
"chr13-34128232-34132526"	1.96338746112471e-10	0.326627916081899	0.648	0.291	2.40742716933267e-05
"chr7-90026361-90027074"	1.99482528593054e-10	0.425392490817527	0.352	0.085	2.44597497259659e-05
"chr15-67514985-67515788"	2.23305421123436e-10	0.439081560784318	0.262	0.05	2.73808175164712e-05
"chr16-32559289-32559974"	2.62228033620249e-10	0.428467256875256	0.238	0.038	3.21533525703804e-05
"chr5-35672126-35674917"	2.67067319936246e-10	0.384634208662757	0.475	0.155	3.27467265013027e-05
"chr6-82756062-82758852"	2.85147697116502e-10	0.343757863780437	0.574	0.238	3.4963670029637e-05
"chr1-51996308-51997508"	4.18603318996013e-10	0.37465559560325	0.443	0.159	5.13274645620151e-05
"chr6-52417277-52417925"	4.68861035952925e-10	0.422920409897783	0.238	0.046	5.74898647844039e-05
"chr19-24606346-24608508"	4.83995874218958e-10	0.355981924462336	0.525	0.193	5.93456381132318e-05
"chr14-79981094-79982262"	6.07093771592321e-10	0.399897177947937	0.41	0.112	7.4439409897564e-05
"chr13-98593613-98595664"	6.36114100260943e-10	0.360656306029496	0.5	0.198	7.79977665175958e-05
"chr18-44623093-44625421"	6.94093763540438e-10	0.371683239962608	0.418	0.156	8.51070009102744e-05
"chr4-95132778-95134489"	8.17719940334712e-10	0.390941185196135	0.352	0.104	0.000100265548204081
"chr13-22063463-22063840"	9.96208492650188e-10	0.423184634470948	0.172	0.021	0.000122151100534795
