"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000040876" "ENSMUST00000040876" "Ak7" "ENSMUSG00000041323" "protein_coding" "cds" "chr12-105761468-105761596" "chr12-105759734-105761600" 0
"ENSMUST00000059619" "ENSMUST00000059619" "Cdc42ep1" "ENSMUSG00000049521" "protein_coding" "cds" "chr15-78849165-78849931" "chr15-78842161-78855983" 0
"ENSMUST00000150762" "ENSMUST00000150762" "Ppp1r1b" "ENSMUSG00000061718" "protein_coding" "cds" "chr11-98357033-98357070" "chr11-98345066-98359008" 0
"ENSMUSE00000848268" "ENSMUST00000153429" "4933434M16Rik" "ENSMUSG00000020624" "lincRNA" "exon" "chr11-112831486-112832469" "chr11-112834994-112836164" 2524
"ENSMUST00000109702" "ENSMUST00000109702" "Zfp341" "ENSMUSG00000059842" "protein_coding" "cds" "chr2-154641982-154642114" "chr2-154641111-154643116" 0
"ENSMUSE00000742158" "ENSMUST00000153825" "Gm11748" "ENSMUSG00000087036" "processed_transcript" "exon" "chr11-118476470-118477785" "chr11-118469366-118472110" 4359
"ENSMUSE00000731412" "ENSMUST00000038196" "Mks1" "ENSMUSG00000034121" "protein_coding" "exon" "chr11-87853215-87853329" "chr11-87846983-87848044" 5170
"ENSMUST00000050020" "ENSMUST00000050020" "Amica1" "ENSMUSG00000048534" "protein_coding" "cds" "chr9-45104190-45104273" "chr9-45102181-45104595" 0
"ENSMUST00000154876" "ENSMUST00000154876" "Afap1l1" "ENSMUSG00000033032" "protein_coding" "gap" "chr18-61758729-61786575" "chr18-61770327-61771065" 0
"ENSMUST00000079533" "ENSMUST00000079533" "Rad51b" "ENSMUSG00000059060" "protein_coding" "utr" "chr12-79507730-79508656" "chr12-79674564-79675965" 165907
"ENSMUST00000106710" "ENSMUST00000106710" "E030025P04Rik" "ENSMUSG00000078605" "protein_coding" "utr" "chr11-109139291-109139501" "chr11-109068347-109069783" 69507
"ENSMUST00000187213" "ENSMUST00000187213" "Kcnq1" "ENSMUSG00000009545" "protein_coding" "gap" "chr7-143109436-143149497" "chr7-143118763-143122926" 0
"ENSMUST00000187213.1" "ENSMUST00000187213" "Kcnq1" "ENSMUSG00000009545" "protein_coding" "cds" "chr7-143109358-143109435" "chr7-143104892-143109485" 0
"ENSMUST00000073639" "ENSMUST00000073639" "Rdh1" "ENSMUSG00000089789" "protein_coding" "cds" "chr10-127764682-127764845" "chr10-127763479-127765209" 0
"ENSMUSE00000132954" "ENSMUST00000023779" "Nr4a1" "ENSMUSG00000023034" "protein_coding" "exon" "chr15-101266846-101266971" "chr15-101253721-101254736" 12109
"ENSMUST00000026990" "ENSMUST00000026990" "Thoc3" "ENSMUSG00000025872" "protein_coding" "utr" "chr13-54458837-54460073" "chr13-54438599-54440805" 18031
"ENSMUST00000166748" "ENSMUST00000166748" "Per1" "ENSMUSG00000020893" "protein_coding" "cds" "chr11-69100642-69100916" "chr11-69094346-69100972" 0
"ENSMUSE00000411405" "ENSMUST00000017751" "Tns4" "ENSMUSG00000017607" "protein_coding" "exon" "chr11-99089239-99089306" "chr11-99112835-99113589" 23528
"ENSMUSE00000341070" "ENSMUST00000038529" "Rbbp8nl" "ENSMUSG00000038980" "protein_coding" "exon" "chr2-180289777-180289879" "chr2-180300171-180301383" 10291
