"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000059893" "ENSMUST00000059893" "Slc2a7" "ENSMUSG00000062064" "protein_coding" "gap" "chr4-150152289-150154666" "chr4-150152379-150153025" 0
"ENSMUST00000099373" "ENSMUST00000099373" "Cnnm2" "ENSMUSG00000064105" "protein_coding" "gap" "chr19-46763394-46853900" "chr19-46784289-46784993" 0
"ENSMUST00000041826" "ENSMUST00000041826" "Rnf13" "ENSMUSG00000036503" "protein_coding" "gap" "chr3-57779509-57796197" "chr3-57794424-57795166" 0
"ENSMUST00000015346" "ENSMUST00000015346" "Cnksr3" "ENSMUSG00000015202" "protein_coding" "gap" "chr10-7160808-7211631" "chr10-7198200-7198585" 0
"ENSMUSE00000364262" "ENSMUST00000036188" "Zc3h12a" "ENSMUSG00000042677" "protein_coding" "exon" "chr4-125127767-125127840" "chr4-125157070-125158667" 29229
"ENSMUST00000176348" "ENSMUST00000176348" "Coq4" "ENSMUSG00000026798" "protein_coding" "gap" "chr2-29790531-29795380" "chr2-29792618-29793624" 0
"ENSMUSE00000831489" "ENSMUST00000075299" "Ppargc1b" "ENSMUSG00000033871" "protein_coding" "exon" "chr18-61400290-61400431" "chr18-61421060-61423632" 20628
"ENSMUSE00000996345" "ENSMUST00000171770" "Fut8" "ENSMUSG00000021065" "protein_coding" "exon" "chr12-77238104-77238199" "chr12-77214013-77214768" 23335
"ENSMUSE00000877175" "ENSMUST00000100497" "Actb" "ENSMUSG00000029580" "protein_coding" "exon" "chr5-142906652-142906754" "chr5-142920451-142925290" 13696
"ENSMUST00000034537" "ENSMUST00000034537" "St3gal4" "ENSMUSG00000032038" "protein_coding" "cds" "chr9-35054063-35054123" "chr9-35038811-35054129" 0
"ENSMUST00000019323" "ENSMUST00000019323" "Mdh2" "ENSMUSG00000019179" "protein_coding" "cds" "chr5-135783305-135783473" "chr5-135781719-135783707" 0
"ENSMUST00000050949" "ENSMUST00000050949" "Tmco4" "ENSMUSG00000041143" "protein_coding" "cds" "chr4-139020046-139020189" "chr4-139017868-139020811" 0
"ENSMUST00000162834" "ENSMUST00000162834" "Cyb5r3" "ENSMUSG00000018042" "protein_coding" "gap" "chr15-83162305-83166074" "chr15-83164883-83165663" 0
"ENSMUST00000114188" "ENSMUST00000114188" "Smyd1" "ENSMUSG00000055027" "protein_coding" "cds" "chr6-71237357-71237487" "chr6-71236265-71237599" 0
"ENSMUST00000075896" "ENSMUST00000075896" "Tsnax" "ENSMUSG00000056820" "protein_coding" "gap" "chr8-125028896-125032496" "chr8-125030977-125031894" 0
"ENSMUST00000125280" "ENSMUST00000125280" "Zdhhc13" "ENSMUSG00000030471" "protein_coding" "gap" "chr7-48811426-48815451" "chr7-48812018-48812363" 0
