"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000160995" "ENSMUST00000160995" "Me3" "ENSMUSG00000030621" "protein_coding" "gap" "chr7-89786502-89796619" "chr7-89787652-89788251" 0
"ENSMUST00000161650" "ENSMUST00000161650" "Hrh1" "ENSMUSG00000053004" "protein_coding" "gap" "chr6-114403898-114479724" "chr6-114436702-114437073" 0
"ENSMUSE00000846719" "ENSMUST00000157584" "Gm23752" "ENSMUSG00000088209" "rRNA" "exon" "chr12-5843712-5843826" "chr12-5736010-5736461" 107250
"ENSMUSE00001061022" "ENSMUST00000177587" "Jdp2" "ENSMUSG00000034271" "protein_coding" "exon" "chr12-85599105-85599227" "chr12-85586657-85587113" 11991
"ENSMUST00000105778" "ENSMUST00000105778" "Prdm2" "ENSMUSG00000057637" "protein_coding" "utr" "chr4-143107391-143109385" "chr4-142874998-142875643" 231747
"ENSMUST00000120310" "ENSMUST00000120310" "Ddah1" "ENSMUSG00000028194" "protein_coding" "gap" "chr3-145760776-145845704" "chr3-145763007-145763944" 0
"ENSMUSE00001320780" "ENSMUST00000187882" "Gm29012" "ENSMUSG00000099669" "lincRNA" "exon" "chr1-105116454-105116499" "chr1-105114797-105115301" 1152
"ENSMUST00000105297" "ENSMUST00000105297" "Nr1h4" "ENSMUSG00000047638" "protein_coding" "cds" "chr10-89516437-89516503" "chr10-89515866-89516498" 0
"ENSMUST00000042042" "ENSMUST00000042042" "Slc51a" "ENSMUSG00000035699" "protein_coding" "cds" "chr16-32486135-32486229" "chr16-32484189-32486452" 0
"ENSMUSE00000833481" "ENSMUST00000145041" "Ces1h" "ENSMUSG00000074156" "protein_coding" "exon" "chr8-93363625-93363676" "chr8-93371508-93372180" 7831
"ENSMUST00000080141" "ENSMUST00000080141" "Tmem117" "ENSMUSG00000063296" "protein_coding" "gap" "chr15-94638364-94714861" "chr15-94673267-94673828" 0
"ENSMUSE00001320780.1" "ENSMUST00000187882" "Gm29012" "ENSMUSG00000099669" "lincRNA" "exon" "chr1-105116454-105116499" "chr1-105079328-105079867" 36586
"ENSMUST00000080141.1" "ENSMUST00000080141" "Tmem117" "ENSMUSG00000063296" "protein_coding" "gap" "chr15-94638364-94714861" "chr15-94664411-94665334" 0
"ENSMUST00000161650.1" "ENSMUST00000161650" "Hrh1" "ENSMUSG00000053004" "protein_coding" "gap" "chr6-114403898-114479724" "chr6-114427750-114428465" 0
"ENSMUST00000124835" "ENSMUST00000124835" "Tmco4" "ENSMUSG00000041143" "protein_coding" "gap" "chr4-138990721-138996397" "chr4-138994365-138996051" 0
"ENSMUST00000105295" "ENSMUST00000105295" "Slc17a8" "ENSMUSG00000019935" "protein_coding" "gap" "chr10-89592963-89597444" "chr10-89595570-89596443" 0
"ENSMUST00000025482" "ENSMUST00000025482" "Atp8b1" "ENSMUSG00000039529" "protein_coding" "cds" "chr18-64568066-64568256" "chr18-64567497-64568270" 0
"ENSMUSE00000599056" "ENSMUST00000094753" "Ceacam20" "ENSMUSG00000070777" "protein_coding" "exon" "chr7-19965412-19965539" "chr7-19962283-19963217" 2194
"ENSMUST00000080141.2" "ENSMUST00000080141" "Tmem117" "ENSMUSG00000063296" "protein_coding" "gap" "chr15-94638364-94714861" "chr15-94667298-94667645" 0
"ENSMUST00000001319" "ENSMUST00000001319" "Efnb2" "ENSMUSG00000001300" "protein_coding" "gap" "chr8-8639490-8660483" "chr8-8652187-8652901" 0
"ENSMUSE00000863261" "ENSMUST00000162412" "Pde8b" "ENSMUSG00000021684" "protein_coding" "exon" "chr13-95250134-95250336" "chr13-95254980-95255574" 4643
"ENSMUST00000098625" "ENSMUST00000098625" "Gm10650" "ENSMUSG00000074237" "protein_coding" "utr" "chr3-128040257-128040661" "chr3-128079787-128080116" 39125
"ENSMUST00000173899" "ENSMUST00000173899" "Mecom" "ENSMUSG00000027684" "protein_coding" "gap" "chr3-30009898-30237977" "chr3-30195063-30196133" 0
"ENSMUST00000001927" "ENSMUST00000001927" "Ltbp1" "ENSMUSG00000001870" "protein_coding" "utr" "chr17-75390554-75391767" "chr17-75391486-75392606" 0
"ENSMUST00000181895" "ENSMUST00000181895" "Gm2885" "ENSMUSG00000097103" "lincRNA" "gap" "chr17-6799685-6827843" "chr17-6811498-6812883" 0
"ENSMUST00000065894" "ENSMUST00000065894" "Slc51b" "ENSMUSG00000053862" "protein_coding" "utr" "chr9-65422747-65422773" "chr9-65422689-65423806" 0
"ENSMUSE00001338333" "ENSMUST00000192483" "Capn2" "ENSMUSG00000026509" "protein_coding" "exon" "chr1-182517118-182517608" "chr1-182526507-182528977" 8898
