"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000062804" "ENSMUST00000062804" "Fut8" "ENSMUSG00000021065" "protein_coding" "utr" "chr12-77475317-77476338" "chr12-77507527-77508282" 31188
"ENSMUSE00001327649" "ENSMUST00000185991" "Gm29113" "ENSMUSG00000100354" "lincRNA" "exon" "chr1-69490357-69493788" "chr1-69469448-69469807" 20549
"ENSMUST00000140769" "ENSMUST00000140769" "Creg1" "ENSMUSG00000040713" "protein_coding" "gap" "chr1-165764755-165769812" "chr1-165767506-165767988" 0
"ENSMUST00000000080" "ENSMUST00000000080" "Klf6" "ENSMUSG00000000078" "protein_coding" "utr" "chr13-5867284-5870393" "chr13-6109005-6109951" 238611
"ENSMUST00000106218" "ENSMUST00000106218" "Ccbl2" "ENSMUSG00000040213" "protein_coding" "cds" "chr3-142744071-142744133" "chr3-142743996-142746532" 0
"ENSMUSE00000688217" "ENSMUST00000111535" "Amn1" "ENSMUSG00000068250" "protein_coding" "exon" "chr6-149188606-149188712" "chr6-149243266-149243678" 54553
"ENSMUSE00000727765" "ENSMUST00000052915" "Axin2" "ENSMUSG00000000142" "protein_coding" "exon" "chr11-108920349-108920561" "chr11-108906434-108907516" 12832
"ENSMUST00000085077" "ENSMUST00000085077" "Arnt2" "ENSMUSG00000015709" "protein_coding" "gap" "chr7-84251503-84262392" "chr7-84251954-84252374" 0
"ENSMUSE00000405457" "ENSMUST00000020672" "Fabp6" "ENSMUSG00000020405" "protein_coding" "exon" "chr11-43601445-43601540" "chr11-43610029-43611097" 8488
"ENSMUSE00000751445" "ENSMUST00000143346" "A730036I17Rik" "ENSMUSG00000056738" "lincRNA" "exon" "chr2-129234945-129235604" "chr2-129245459-129248512" 9854
"ENSMUST00000021990" "ENSMUST00000021990" "Ptdss1" "ENSMUSG00000021518" "protein_coding" "gap" "chr13-66956507-66963312" "chr13-66956571-66956848" 0
"ENSMUSE00000789397" "ENSMUST00000068813" "Them7" "ENSMUSG00000055312" "protein_coding" "exon" "chr2-105224320-105224380" "chr2-105215732-105216538" 7781
