"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000139171" "ENSMUST00000139171" "Fnip2" "ENSMUSG00000061175" "protein_coding" "gap" "chr3-79506279-79567508" "chr3-79555080-79555415" 0
"ENSMUST00000031445" "ENSMUST00000031445" "Aacs" "ENSMUSG00000029482" "protein_coding" "gap" "chr5-125489897-125494906" "chr5-125492497-125493308" 0
"ENSMUST00000099508" "ENSMUST00000099508" "Kcnj6" "ENSMUSG00000043301" "protein_coding" "utr" "chr16-94997187-94997696" "chr16-94997354-94997724" 0
"ENSMUST00000028648" "ENSMUST00000028648" "Syt13" "ENSMUSG00000027220" "protein_coding" "gap" "chr2-92915370-92940752" "chr2-92931058-92931397" 0
"ENSMUSE00001180825" "ENSMUST00000181864" "Gm26843" "ENSMUSG00000097520" "lincRNA" "exon" "chr8-93750147-93752635" "chr8-93675333-93675570" 74576
"ENSMUST00000041099" "ENSMUST00000041099" "Neurod1" "ENSMUSG00000034701" "protein_coding" "utr" "chr2-79456551-79456751" "chr2-79456523-79457049" 0
"ENSMUST00000121440" "ENSMUST00000121440" "Maml3" "ENSMUSG00000061143" "protein_coding" "gap" "chr3-51857077-52103678" "chr3-51888808-51889295" 0
"ENSMUST00000068631" "ENSMUST00000068631" "Fev" "ENSMUSG00000055197" "protein_coding" "cds" "chr1-74885159-74885210" "chr1-74884724-74886097" 0
"ENSMUST00000174132" "ENSMUST00000174132" "Ctdspl" "ENSMUSG00000047409" "protein_coding" "gap" "chr9-119037547-119040523" "chr9-119040080-119040355" 0
"ENSMUST00000113509" "ENSMUST00000113509" "Nup210" "ENSMUSG00000030091" "protein_coding" "gap" "chr6-91101400-91116617" "chr6-91102098-91102364" 0
"ENSMUSE00001343193" "ENSMUST00000193813" "RP24-92E18.1" "ENSMUSG00000102785" "lincRNA" "exon" "chr3-52739716-52739856" "chr3-52663303-52663757" 75958
"ENSMUST00000111346" "ENSMUST00000111346" "Rimbp2" "ENSMUSG00000029420" "protein_coding" "gap" "chr5-128845672-128952966" "chr5-128903096-128903459" 0
"ENSMUST00000000206" "ENSMUST00000000206" "Btbd17" "ENSMUSG00000000202" "protein_coding" "cds" "chr11-114795764-114795848" "chr11-114795120-114795830" 0
"ENSMUST00000180327" "ENSMUST00000180327" "Ankrd44" "ENSMUSG00000052331" "protein_coding" "gap" "chr1-54792532-54828611" "chr1-54815221-54815697" 0
"ENSMUST00000152415" "ENSMUST00000152415" "Olfm1" "ENSMUSG00000026833" "protein_coding" "gap" "chr2-28193463-28208077" "chr2-28195779-28196180" 0
"ENSMUSE00000879828" "ENSMUST00000071267" "Pcgf5" "ENSMUSG00000024805" "protein_coding" "exon" "chr19-36379067-36379159" "chr19-36377603-36378072" 994
"ENSMUST00000165526" "ENSMUST00000165526" "Fgf9" "ENSMUSG00000021974" "protein_coding" "utr" "chr14-58109579-58112337" "chr14-58253609-58254001" 141271
"ENSMUST00000136836" "ENSMUST00000136836" "Skap1" "ENSMUSG00000057058" "protein_coding" "gap" "chr11-96541487-96708565" "chr11-96655768-96656117" 0
"ENSMUST00000151070" "ENSMUST00000151070" "Gm14268" "ENSMUSG00000087617" "lincRNA" "gap" "chr2-166381498-166398020" "chr2-166387896-166388476" 0
"ENSMUSE00000696658" "ENSMUST00000001187" "Anxa4" "ENSMUSG00000029994" "protein_coding" "exon" "chr6-86793509-86793584" "chr6-86799047-86799459" 5462
"ENSMUST00000172627" "ENSMUST00000172627" "Nkx2-2" "ENSMUSG00000027434" "protein_coding" "gap" "chr2-147186456-147193938" "chr2-147193905-147195807" 0
"ENSMUST00000180430" "ENSMUST00000180430" "Ksr2" "ENSMUSG00000061578" "protein_coding" "gap" "chr5-117555478-117616831" "chr5-117593261-117593712" 0
"ENSMUSE00001106933" "ENSMUST00000180406" "Gm26748" "ENSMUSG00000097548" "lincRNA" "exon" "chr6-99729785-99732553" "chr6-99742834-99743260" 10280
"ENSMUST00000147852" "ENSMUST00000147852" "Trim62" "ENSMUSG00000041000" "protein_coding" "gap" "chr4-128886787-128896819" "chr4-128891211-128891563" 0
"ENSMUST00000020985" "ENSMUST00000020985" "Grhl1" "ENSMUSG00000020656" "protein_coding" "utr" "chr12-24615933-24617391" "chr12-24623463-24623943" 6071
"ENSMUST00000191550" "ENSMUST00000191550" "Msh3" "ENSMUSG00000014850" "protein_coding" "gap" "chr13-92300359-92309444" "chr13-92301732-92302179" 0
"ENSMUSE00000609872" "ENSMUST00000061673" "Itga1" "ENSMUSG00000042284" "protein_coding" "exon" "chr13-115101471-115101964" "chr13-115346161-115347153" 244196
"ENSMUSE00000753768" "ENSMUST00000144245" "Plb1" "ENSMUSG00000029134" "protein_coding" "exon" "chr5-32363995-32366520" "chr5-32403237-32403942" 36716
"ENSMUST00000111346.1" "ENSMUST00000111346" "Rimbp2" "ENSMUSG00000029420" "protein_coding" "utr" "chr5-128952967-128953362" "chr5-128953329-128953780" 0
"ENSMUST00000102518" "ENSMUST00000102518" "Ece1" "ENSMUSG00000057530" "protein_coding" "gap" "chr4-137938816-137945016" "chr4-137940265-137940755" 0
"ENSMUST00000136250" "ENSMUST00000136250" "Jazf1" "ENSMUSG00000063568" "protein_coding" "gap" "chr6-52770381-52777534" "chr6-52775856-52777268" 0
"ENSMUST00000063117" "ENSMUST00000063117" "Gstz1" "ENSMUSG00000021033" "protein_coding" "cds" "chr12-87157893-87157944" "chr12-87157405-87158530" 0
"ENSMUSE00000875591" "ENSMUST00000109621" "Tox3" "ENSMUSG00000043668" "protein_coding" "exon" "chr8-90347863-90348343" "chr8-90414117-90414508" 65773
"ENSMUST00000050183" "ENSMUST00000050183" "Uaca" "ENSMUSG00000034485" "protein_coding" "gap" "chr9-60794693-60840839" "chr9-60807981-60808359" 0
