"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000099149" "ENSMUST00000099149" "Nnt" "ENSMUSG00000025453" "protein_coding" "utr" "chr13-119335448-119336256" "chr13-119333700-119334517" 930
"ENSMUST00000110767" "ENSMUST00000110767" "Spag11b" "ENSMUSG00000059463" "protein_coding" "utr" "chr8-19141583-19143010" "chr8-19147023-19147411" 4012
"ENSMUST00000091466" "ENSMUST00000091466" "Ttc37" "ENSMUSG00000033991" "protein_coding" "utr" "chr13-76187675-76187983" "chr13-76255282-76257287" 67298
"ENSMUST00000090302" "ENSMUST00000090302" "Erc2" "ENSMUSG00000040640" "protein_coding" "gap" "chr14-28080268-28141220" "chr14-28099015-28099473" 0
"ENSMUSE00000278936" "ENSMUST00000063750" "Rarb" "ENSMUSG00000017491" "protein_coding" "exon" "chr14-16574858-16575472" "chr14-16684672-16685186" 109199
"ENSMUST00000106128" "ENSMUST00000106128" "Lphn2" "ENSMUSG00000028184" "protein_coding" "utr" "chr3-148815586-148817173" "chr3-148417792-148418529" 397056
"ENSMUSE00000904156" "ENSMUST00000048880" "Macc1" "ENSMUSG00000041886" "protein_coding" "exon" "chr12-119443410-119443524" "chr12-119390010-119390863" 52546
"ENSMUST00000021001" "ENSMUST00000021001" "Rab10" "ENSMUSG00000020671" "protein_coding" "utr" "chr12-3247430-3249786" "chr12-3153440-3154528" 92901
"ENSMUSE00000355111" "ENSMUST00000040695" "Sbspon" "ENSMUSG00000032719" "protein_coding" "exon" "chr1-15892439-15892722" "chr1-15936587-15937773" 43864
"ENSMUSE00001342472" "ENSMUST00000195210" "RP24-71M17.1" "ENSMUSG00000103799" "lincRNA" "exon" "chr1-185757312-185757772" "chr1-185773666-185774247" 15893
"ENSMUSE00000897360" "ENSMUST00000049784" "Myt1l" "ENSMUSG00000061911" "protein_coding" "exon" "chr12-29528384-29528796" "chr12-29282424-29283307" 245076
"ENSMUSE00000552637" "ENSMUST00000088476" "Pi15" "ENSMUSG00000067780" "protein_coding" "exon" "chr1-17601901-17602042" "chr1-17505969-17507172" 94728
"ENSMUSE00000763045" "ENSMUST00000147323" "Nt5c1b" "ENSMUSG00000020622" "protein_coding" "exon" "chr12-10369973-10370095" "chr12-10128127-10128606" 241366
"ENSMUSE00001152053" "ENSMUST00000181712" "4930448E22Rik" "ENSMUSG00000097463" "lincRNA" "exon" "chr9-46328743-46329413" "chr9-46441986-46444114" 112572
"ENSMUST00000078525" "ENSMUST00000078525" "Rnf150" "ENSMUSG00000047747" "protein_coding" "gap" "chr8-83036122-83042571" "chr8-83036326-83037495" 0
"ENSMUST00000051687" "ENSMUST00000051687" "Gm1840" "ENSMUSG00000043192" "protein_coding" "cds" "chr8-5639584-5640996" "chr8-6010843-6011811" 369846
"ENSMUST00000023007" "ENSMUST00000023007" "Adcy8" "ENSMUSG00000022376" "protein_coding" "utr" "chr15-64699042-64699132" "chr15-64695659-64696203" 2838
"ENSMUST00000069066" "ENSMUST00000069066" "Fam49a" "ENSMUSG00000020589" "protein_coding" "gap" "chr12-12304323-12340678" "chr12-12306006-12306933" 0
"ENSMUST00000123552" "ENSMUST00000123552" "Adamts16" "ENSMUSG00000049538" "protein_coding" "gap" "chr13-70773030-70777388" "chr13-70775519-70776515" 0
"ENSMUST00000108124" "ENSMUST00000108124" "Lingo2" "ENSMUSG00000045083" "protein_coding" "gap" "chr4-35890184-36056641" "chr4-35917354-35917768" 0
"ENSMUST00000106128.1" "ENSMUST00000106128" "Lphn2" "ENSMUSG00000028184" "protein_coding" "utr" "chr3-148815586-148817173" "chr3-148428886-148429813" 385772
"ENSMUST00000174868" "ENSMUST00000174868" "Rbms3" "ENSMUSG00000039607" "protein_coding" "gap" "chr9-117110119-117251726" "chr9-117133803-117134474" 0
"ENSMUST00000176162" "ENSMUST00000176162" "Fggy" "ENSMUSG00000028573" "protein_coding" "gap" "chr4-95769530-95800556" "chr4-95771634-95772481" 0
"ENSMUSE00000681206" "ENSMUST00000026367" "Sp4" "ENSMUSG00000025323" "protein_coding" "exon" "chr12-118301227-118301440" "chr12-118451517-118452030" 150076
"ENSMUSE00000797919" "ENSMUST00000149481" "Gm11986" "ENSMUSG00000087637" "lincRNA" "exon" "chr11-7289505-7290374" "chr11-7763950-7765750" 473575
"ENSMUST00000144543" "ENSMUST00000144543" "Plekhg1" "ENSMUSG00000040624" "protein_coding" "gap" "chr10-3802801-3872926" "chr10-3829422-3829712" 0
"ENSMUST00000022567" "ENSMUST00000022567" "Cacna2d3" "ENSMUSG00000021991" "protein_coding" "utr" "chr14-28904943-28905264" "chr14-28885076-28885285" 19657
"ENSMUSE00001325796" "ENSMUST00000190301" "Gm29137" "ENSMUSG00000101897" "lincRNA" "exon" "chr3-21268952-21269090" "chr3-21530894-21531339" 261803
"ENSMUST00000183274" "ENSMUST00000183274" "Xpnpep1" "ENSMUSG00000025027" "protein_coding" "utr" "chr19-52943417-52943620" "chr19-52898069-52898667" 44749
"ENSMUSE00000554113" "ENSMUST00000088735" "Olfm4" "ENSMUSG00000022026" "protein_coding" "exon" "chr14-80000302-80000504" "chr14-79985123-79988049" 12252
"ENSMUST00000047762" "ENSMUST00000047762" "Gata6" "ENSMUSG00000005836" "protein_coding" "utr" "chr18-11084483-11085635" "chr18-11118757-11119477" 33121
