"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000159840" "ENSMUST00000159840" "Kcnab2" "ENSMUSG00000028931" "protein_coding" "utr" "chr4-152448678-152448840" "chr4-152448226-152448697" 0
"ENSMUSE00000964884" "ENSMUST00000092155" "Col11a1" "ENSMUSG00000027966" "protein_coding" "exon" "chr3-114030540-114031003" "chr3-113951198-113951657" 78882
"ENSMUST00000194039" "ENSMUST00000194039" "Sema3f" "ENSMUSG00000034684" "protein_coding" "utr" "chr9-107709418-107710019" "chr9-107709093-107710844" 0
"ENSMUST00000163663" "ENSMUST00000163663" "Dlc1" "ENSMUSG00000031523" "protein_coding" "cds" "chr8-36583541-36584967" "chr8-36584052-36584906" 0
"ENSMUST00000022600" "ENSMUST00000022600" "Mtrf1" "ENSMUSG00000022022" "protein_coding" "cds" "chr14-79411642-79411814" "chr14-79411484-79411865" 0
"ENSMUST00000172239" "ENSMUST00000172239" "Nt5c2" "ENSMUSG00000025041" "protein_coding" "cds" "chr19-47014698-47014756" "chr19-47014464-47015816" 0
"ENSMUST00000174183" "ENSMUST00000174183" "Kcnq5" "ENSMUSG00000028033" "protein_coding" "gap" "chr1-21593615-21961180" "chr1-21701855-21702313" 0
"ENSMUSE00000694639" "ENSMUST00000031317" "Rassf6" "ENSMUSG00000029370" "protein_coding" "exon" "chr5-90640387-90640487" "chr5-90664817-90665157" 24329
"ENSMUST00000107394" "ENSMUST00000107394" "Mesp2" "ENSMUSG00000030543" "protein_coding" "utr" "chr7-79812811-79813431" "chr7-79816596-79817018" 3164
"ENSMUST00000002825" "ENSMUST00000002825" "Baz1b" "ENSMUSG00000002748" "protein_coding" "cds" "chr5-135216590-135218294" "chr5-135217281-135217677" 0
"ENSMUSE00001241869" "ENSMUST00000182943" "Gm27000" "ENSMUSG00000097961" "lincRNA" "exon" "chrX-88759471-88760312" "chrX-88634741-88635097" 124373
"ENSMUST00000156517" "ENSMUST00000156517" "Espn" "ENSMUSG00000028943" "protein_coding" "gap" "chr4-152123794-152128068" "chr4-152126007-152126928" 0
"ENSMUST00000177211" "ENSMUST00000177211" "Higd1c" "ENSMUSG00000093550" "protein_coding" "gap" "chr15-100375014-100383726" "chr15-100375468-100375924" 0
"ENSMUST00000115259" "ENSMUST00000115259" "Tmem60" "ENSMUSG00000045435" "protein_coding" "cds" "chr5-20886239-20886640" "chr5-20886225-20886600" 0
"ENSMUSE00000832729" "ENSMUST00000102973" "Aco1" "ENSMUSG00000028405" "protein_coding" "exon" "chr4-40143081-40143541" "chr4-39806292-39806684" 336396
"ENSMUST00000176944" "ENSMUST00000176944" "Ap2b1" "ENSMUSG00000035152" "protein_coding" "gap" "chr11-83322075-83324510" "chr11-83323790-83324249" 0
"ENSMUST00000186641" "ENSMUST00000186641" "Ano7" "ENSMUSG00000034107" "protein_coding" "cds" "chr1-93384811-93384918" "chr1-93384713-93385119" 0
"ENSMUST00000150169" "ENSMUST00000150169" "Psd3" "ENSMUSG00000030465" "protein_coding" "gap" "chr8-67790942-67882980" "chr8-67844187-67844643" 0
"ENSMUSE00001339273" "ENSMUST00000195873" "RP24-535F16.1" "ENSMUSG00000102569" "lincRNA" "exon" "chr3-147428889-147432324" "chr3-147347249-147347616" 81272
"ENSMUST00000154148" "ENSMUST00000154148" "RP24-559D1.1" "ENSMUSG00000102805" "protein_coding" "gap" "chr3-84540623-85785217" "chr3-85293283-85293665" 0
"ENSMUST00000107415" "ENSMUST00000107415" "Zfp618" "ENSMUSG00000028358" "protein_coding" "gap" "chr4-63115441-63118545" "chr4-63117429-63117893" 0
"ENSMUST00000109994" "ENSMUST00000109994" "Unc5a" "ENSMUSG00000025876" "protein_coding" "gap" "chr13-54949732-54990879" "chr13-54959234-54959933" 0
"ENSMUSE00001076284" "ENSMUST00000140196" "Gm12724" "ENSMUSG00000086249" "processed_transcript" "exon" "chr4-106241216-106241327" "chr4-106234625-106235010" 6205
"ENSMUST00000026876" "ENSMUST00000026876" "Crisp4" "ENSMUSG00000025774" "protein_coding" "utr" "chr1-18115191-18115628" "chr1-18033268-18033646" 81544
"ENSMUST00000067984" "ENSMUST00000067984" "Mtnr1a" "ENSMUSG00000054764" "protein_coding" "utr" "chr8-45088066-45088356" "chr8-45164055-45164520" 75698
"ENSMUST00000029848" "ENSMUST00000029848" "Col24a1" "ENSMUSG00000028197" "protein_coding" "gap" "chr3-145337863-145342452" "chr3-145340236-145340697" 0
"ENSMUST00000156893" "ENSMUST00000156893" "Dhx35" "ENSMUSG00000027655" "protein_coding" "gap" "chr2-158807001-158826304" "chr2-158813584-158814040" 0
"ENSMUST00000017900" "ENSMUST00000017900" "Slc12a7" "ENSMUSG00000017756" "protein_coding" "cds" "chr13-73798943-73799041" "chr13-73797734-73799513" 0
"ENSMUSE00000513477" "ENSMUST00000048557" "Npffr2" "ENSMUSG00000035528" "protein_coding" "exon" "chr5-89527429-89527536" "chr5-89505163-89505625" 21803
"ENSMUST00000150169.1" "ENSMUST00000150169" "Psd3" "ENSMUSG00000030465" "protein_coding" "gap" "chr8-67790942-67882980" "chr8-67864180-67864383" 0
"ENSMUST00000188912" "ENSMUST00000188912" "Pbx1" "ENSMUSG00000052534" "protein_coding" "gap" "chr1-168121481-168183529" "chr1-168182113-168182570" 0
"ENSMUST00000169074" "ENSMUST00000169074" "Nin" "ENSMUSG00000021068" "protein_coding" "cds" "chr12-70035157-70035270" "chr12-70034919-70035338" 0
"ENSMUSE00000809550" "ENSMUST00000134099" "Gm12519" "ENSMUSG00000085643" "lincRNA" "exon" "chr4-55969023-55969093" "chr4-55809305-55809655" 159367
