"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000147393" "ENSMUST00000147393" "Hjurp" "ENSMUSG00000044783" "protein_coding" "cds" "chr1-88277374-88277469" "chr1-88271402-88292710" 0
"ENSMUST00000161114" "ENSMUST00000161114" "Slc37a2" "ENSMUSG00000032122" "protein_coding" "gap" "chr9-37241961-37255298" "chr9-37244399-37246877" 0
"ENSMUSE00000711276" "ENSMUST00000121725" "Gda" "ENSMUSG00000058624" "protein_coding" "exon" "chr19-21473388-21473445" "chr19-21487088-21488052" 13642
"ENSMUST00000180626" "ENSMUST00000180626" "Elmo1" "ENSMUSG00000041112" "protein_coding" "gap" "chr13-20290494-20342367" "chr13-20299601-20301045" 0
"ENSMUSE00000420983" "ENSMUST00000057243" "Tmem252" "ENSMUSG00000048572" "protein_coding" "exon" "chr19-24674008-24674343" "chr19-24652425-24652696" 21311
"ENSMUSE00000719740" "ENSMUST00000030412" "Ppt1" "ENSMUSG00000028657" "protein_coding" "exon" "chr4-122836242-122836379" "chr4-122828905-122830449" 5792
"ENSMUST00000110301" "ENSMUST00000110301" "Clcn3" "ENSMUSG00000004319" "protein_coding" "utr" "chr8-60982776-60983239" "chr8-60982503-60984197" 0
"ENSMUST00000162834" "ENSMUST00000162834" "Cyb5r3" "ENSMUSG00000018042" "protein_coding" "gap" "chr15-83162305-83166074" "chr15-83164883-83165663" 0
"ENSMUST00000167299" "ENSMUST00000167299" "Slc5a11" "ENSMUSG00000030769" "protein_coding" "gap" "chr7-123240799-123247937" "chr7-123244572-123245214" 0
"ENSMUST00000006764" "ENSMUST00000006764" "Aprt" "ENSMUSG00000006589" "protein_coding" "cds" "chr8-122576753-122576832" "chr8-122574296-122577735" 0
"ENSMUST00000037974" "ENSMUST00000037974" "Ptprm" "ENSMUSG00000033278" "protein_coding" "gap" "chr17-66817978-66890923" "chr17-66881044-66881763" 0
"ENSMUST00000091471" "ENSMUST00000091471" "Thrb" "ENSMUSG00000021779" "protein_coding" "gap" "chr14-17661025-17826893" "chr14-17780681-17780879" 0
"ENSMUST00000102715" "ENSMUST00000102715" "Stk39" "ENSMUSG00000027030" "protein_coding" "utr" "chr2-68210445-68211918" "chr2-68192965-68193547" 16897
"ENSMUSE00001323770" "ENSMUST00000191428" "Fat1" "ENSMUSG00000070047" "protein_coding" "exon" "chr8-44935447-44935621" "chr8-44778984-44779586" 155860
"ENSMUST00000160638" "ENSMUST00000160638" "Plch1" "ENSMUSG00000036834" "protein_coding" "utr" "chr3-63696234-63699282" "chr3-63648253-63648807" 47426
"ENSMUSE00000413905" "ENSMUST00000040677" "Eepd1" "ENSMUSG00000036611" "protein_coding" "exon" "chr9-25481547-25481896" "chr9-25460602-25461528" 20018
"ENSMUST00000139312" "ENSMUST00000139312" "Sardh" "ENSMUSG00000009614" "protein_coding" "utr" "chr2-27248242-27248337" "chr2-27248211-27248721" 0
"ENSMUSE00000826954" "ENSMUST00000130911" "Nfyb" "ENSMUSG00000020248" "protein_coding" "exon" "chr10-82764004-82764144" "chr10-82780219-82780749" 16074
"ENSMUST00000110164" "ENSMUST00000110164" "Tmem230" "ENSMUSG00000027341" "protein_coding" "utr" "chr2-132239492-132240485" "chr2-132233653-132237087" 2404
"ENSMUST00000098513" "ENSMUST00000098513" "Plekhf1" "ENSMUSG00000074170" "protein_coding" "utr" "chr7-38220654-38221302" "chr7-38217194-38218188" 2465
"ENSMUSE00000657029" "ENSMUST00000080208" "Epb4.1l3" "ENSMUSG00000024044" "protein_coding" "exon" "chr17-69156810-69156910" "chr17-69067641-69068571" 88238
"ENSMUSE00000358625" "ENSMUST00000026902" "Rassf3" "ENSMUSG00000025795" "protein_coding" "exon" "chr10-121476003-121476250" "chr10-121486137-121486686" 9886
"ENSMUST00000037820" "ENSMUST00000037820" "Hdhd3" "ENSMUSG00000038422" "protein_coding" "cds" "chr4-62499182-62499937" "chr4-62498398-62504174" 0
"ENSMUST00000034026" "ENSMUST00000034026" "Hpgd" "ENSMUSG00000031613" "protein_coding" "utr" "chr8-56320206-56321046" "chr8-56335292-56336092" 14245
"ENSMUST00000020484" "ENSMUST00000020484" "Txnrd1" "ENSMUSG00000020250" "protein_coding" "gap" "chr10-82875697-82877265" "chr10-82875810-82876958" 0
"ENSMUST00000110992" "ENSMUST00000110992" "Marc1" "ENSMUSG00000026621" "protein_coding" "gap" "chr1-184807189-184810845" "chr1-184809420-184810155" 0
"ENSMUST00000166078" "ENSMUST00000166078" "Ash2l" "ENSMUSG00000031575" "protein_coding" "gap" "chr8-25818645-25819625" "chr8-25819035-25819436" 0
"ENSMUST00000180784" "ENSMUST00000180784" "Gm26840" "ENSMUSG00000097728" "lincRNA" "gap" "chr4-155770460-155773672" "chr4-155771623-155772260" 0
"ENSMUSE00001324789" "ENSMUST00000186843" "1700016G22Rik" "ENSMUSG00000100625" "lincRNA" "exon" "chr13-5855508-5855951" "chr13-5527344-5527759" 327748
"ENSMUST00000040987" "ENSMUST00000040987" "Akr1d1" "ENSMUSG00000038641" "protein_coding" "utr" "chr6-37567167-37568815" "chr6-37569964-37570316" 1148
"ENSMUSE00000367432" "ENSMUST00000058578" "Pgrmc2" "ENSMUSG00000049940" "protein_coding" "exon" "chr3-41082595-41083046" "chr3-41101675-41102537" 18628
"ENSMUST00000078481" "ENSMUST00000078481" "Scin" "ENSMUSG00000002565" "protein_coding" "gap" "chr12-40105077-40124566" "chr12-40113958-40114336" 0
"ENSMUST00000002765" "ENSMUST00000002765" "Prkd1" "ENSMUSG00000002688" "protein_coding" "utr" "chr12-50341231-50342001" "chr12-50273157-50273916" 67314
"ENSMUST00000159990" "ENSMUST00000159990" "Poc1b" "ENSMUSG00000019952" "protein_coding" "utr" "chr10-99196731-99198074" "chr10-99226464-99227278" 28389
"ENSMUST00000028836" "ENSMUST00000028836" "Bmp2" "ENSMUSG00000027358" "protein_coding" "utr" "chr2-133561716-133562885" "chr2-133753911-133754615" 191025
"ENSMUST00000047762" "ENSMUST00000047762" "Gata6" "ENSMUSG00000005836" "protein_coding" "utr" "chr18-11084483-11085635" "chr18-11316874-11317987" 231238
"ENSMUST00000043150" "ENSMUST00000043150" "Acsl5" "ENSMUSG00000024981" "protein_coding" "gap" "chr19-55254167-55268643" "chr19-55257438-55259735" 0
"ENSMUSE00000775850" "ENSMUST00000029912" "Sdcbp" "ENSMUSG00000028249" "protein_coding" "exon" "chr4-6365650-6365759" "chr4-6347152-6349631" 16018
"ENSMUSE00000842132" "ENSMUST00000133935" "Pvrl3" "ENSMUSG00000022656" "protein_coding" "exon" "chr16-46498391-46498525" "chr16-46582743-46583413" 84217
"ENSMUST00000027331" "ENSMUST00000027331" "Tm4sf20" "ENSMUSG00000026149" "protein_coding" "cds" "chr1-82768235-82768417" "chr1-82766095-82768766" 0
"ENSMUSE00000802122" "ENSMUST00000140302" "Sntg1" "ENSMUSG00000025909" "protein_coding" "exon" "chr1-9298133-9299878" "chr1-9380986-9381318" 81107
"ENSMUST00000148106" "ENSMUST00000148106" "Nr3c2" "ENSMUSG00000031618" "protein_coding" "gap" "chr8-76910029-77085526" "chr8-77055186-77056184" 0
"ENSMUSE00000771001" "ENSMUST00000129908" "Gm12609" "ENSMUSG00000085147" "processed_transcript" "exon" "chr4-89381957-89382002" "chr4-89380204-89380925" 1031
"ENSMUSE00000565298" "ENSMUST00000052678" "Flnb" "ENSMUSG00000025278" "protein_coding" "exon" "chr14-7817957-7818443" "chr14-7807285-7810027" 7929
"ENSMUST00000092990" "ENSMUST00000092990" "Agpat9" "ENSMUSG00000029314" "protein_coding" "utr" "chr5-100897829-100899102" "chr5-100916319-100917817" 17216
"ENSMUST00000131298" "ENSMUST00000131298" "Ralgps1" "ENSMUSG00000038831" "protein_coding" "gap" "chr2-33340834-33371269" "chr2-33360589-33361728" 0
"ENSMUST00000048545" "ENSMUST00000048545" "Arglu1" "ENSMUSG00000040459" "protein_coding" "gap" "chr8-8667417-8681383" "chr8-8676553-8677038" 0
"ENSMUSE00001091129" "ENSMUST00000098537" "Gsta1" "ENSMUSG00000074183" "protein_coding" "exon" "chr9-78230656-78230730" "chr9-78220194-78220482" 10173
"ENSMUSE00000781478" "ENSMUST00000064104" "Cdc42se2" "ENSMUSG00000052298" "protein_coding" "exon" "chr11-54787560-54787675" "chr11-54801779-54803116" 14103
"ENSMUST00000093100" "ENSMUST00000093100" "Dnaaf1" "ENSMUSG00000031831" "protein_coding" "cds" "chr8-119582509-119582730" "chr8-119582362-119582795" 0
"ENSMUSE00000842132.1" "ENSMUST00000133935" "Pvrl3" "ENSMUSG00000022656" "protein_coding" "exon" "chr16-46498391-46498525" "chr16-46507221-46507732" 8695
"ENSMUST00000170157" "ENSMUST00000170157" "Slc3a2" "ENSMUSG00000010095" "protein_coding" "gap" "chr19-8713753-8722983" "chr19-8715164-8715654" 0
"ENSMUST00000141245" "ENSMUST00000141245" "Slc7a9" "ENSMUSG00000030492" "protein_coding" "cds" "chr7-35449836-35449886" "chr7-35447388-35449979" 0
"ENSMUST00000088386" "ENSMUST00000088386" "Slc15a1" "ENSMUSG00000025557" "protein_coding" "gap" "chr14-121491691-121505218" "chr14-121497746-121498545" 0
"ENSMUST00000061093" "ENSMUST00000061093" "Slc30a10" "ENSMUSG00000026614" "protein_coding" "cds" "chr1-185455064-185455679" "chr1-185454351-185455714" 0
