"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000135806" "ENSMUST00000135806" "1700011I03Rik" "ENSMUSG00000058925" "protein_coding" "utr" "chr18-57730787-57731065" "chr18-57744207-57746104" 13141
"ENSMUST00000134663" "ENSMUST00000134663" "Myo7b" "ENSMUSG00000024388" "protein_coding" "utr" "chr18-32036873-32036961" "chr18-32034980-32037865" 0
"ENSMUSE00001155259" "ENSMUST00000181198" "4930552P12Rik" "ENSMUSG00000097632" "lincRNA" "exon" "chr19-55702128-55702204" "chr19-55719096-55719468" 16891
"ENSMUSE00000739800" "ENSMUST00000132321" "4930579D09Rik" "ENSMUSG00000084971" "lincRNA" "exon" "chr6-143533965-143534358" "chr6-143519687-143521669" 12295
"ENSMUSE00000154469" "ENSMUST00000027102" "4933402D24Rik" "ENSMUSG00000025961" "protein_coding" "exon" "chr1-63769181-63769267" "chr1-63857850-63858424" 88582
"ENSMUST00000127664" "ENSMUST00000127664" "Gm20388" "ENSMUSG00000092329" "protein_coding" "gap" "chr8-119910940-124295357" "chr8-123021204-123021813" 0
"ENSMUST00000148013" "ENSMUST00000148013" "Msi2" "ENSMUSG00000069769" "protein_coding" "gap" "chr11-88480055-88590054" "chr11-88557166-88558215" 0
"ENSMUST00000018315" "ENSMUST00000018315" "Vmp1" "ENSMUSG00000018171" "protein_coding" "gap" "chr11-86602070-86607175" "chr11-86603315-86603478" 0
"ENSMUST00000134780" "ENSMUST00000134780" "Tmem132c" "ENSMUSG00000034324" "protein_coding" "gap" "chr5-127242021-127286862" "chr5-127282443-127283240" 0
"ENSMUST00000191320" "ENSMUST00000191320" "Itpk1" "ENSMUSG00000057963" "protein_coding" "gap" "chr12-102588563-102606088" "chr12-102597334-102597975" 0
"ENSMUST00000109201" "ENSMUST00000109201" "Olfr1396" "ENSMUSG00000047511" "protein_coding" "cds" "chr11-49112777-49113724" "chr11-49112448-49113090" 0
"ENSMUST00000043604" "ENSMUST00000043604" "Gna11" "ENSMUSG00000034781" "protein_coding" "gap" "chr10-81535265-81544791" "chr10-81536761-81537741" 0
"ENSMUST00000163159" "ENSMUST00000163159" "Adamts3" "ENSMUSG00000043635" "protein_coding" "gap" "chr5-89721854-89775284" "chr5-89727448-89728183" 0
"ENSMUST00000095313" "ENSMUST00000095313" "Pawr" "ENSMUSG00000035873" "protein_coding" "gap" "chr10-108382862-108391697" "chr10-108389852-108390214" 0
"ENSMUST00000190618" "ENSMUST00000190618" "Dis3l2" "ENSMUSG00000053333" "protein_coding" "gap" "chr1-87021118-87044016" "chr1-87035511-87036164" 0
"ENSMUST00000042646" "ENSMUST00000042646" "Atoh8" "ENSMUSG00000037621" "protein_coding" "gap" "chr6-72207156-72223741" "chr6-72219116-72219363" 0
"ENSMUSE00000807230" "ENSMUST00000107384" "Idh2" "ENSMUSG00000030541" "protein_coding" "exon" "chr7-80115162-80115392" "chr7-80123129-80123536" 7736
"ENSMUST00000150192" "ENSMUST00000150192" "Syt8" "ENSMUSG00000031098" "protein_coding" "gap" "chr7-142434902-142438893" "chr7-142433670-142434923" 0
"ENSMUST00000178065" "ENSMUST00000178065" "Gm4791" "ENSMUSG00000094893" "protein_coding" "cds" "chr9-47003299-47003338" "chr9-47253804-47255325" 250465
"ENSMUSE00000941447" "ENSMUST00000173738" "Gm20484" "ENSMUSG00000092503" "lincRNA" "exon" "chr5-101599314-101599423" "chr5-101365427-101365734" 233579
"ENSMUSE00000780180" "ENSMUST00000122988" "Gm2800" "ENSMUSG00000084871" "lincRNA" "exon" "chr12-107186218-107186734" "chr12-107327404-107328238" 140669
"ENSMUST00000009143" "ENSMUST00000009143" "Bmp7" "ENSMUSG00000008999" "protein_coding" "gap" "chr2-172893597-172916466" "chr2-172913580-172914907" 0
"ENSMUST00000108287" "ENSMUST00000108287" "Sarm1" "ENSMUSG00000050132" "protein_coding" "cds" "chr11-78487916-78488128" "chr11-78487739-78488588" 0
"ENSMUSE00001070259" "ENSMUST00000179981" "Gm16505" "ENSMUSG00000096107" "protein_coding" "exon" "chr13-3361029-3361387" "chr13-3106744-3106888" 254140
"ENSMUST00000035295" "ENSMUST00000035295" "Degs1" "ENSMUSG00000038633" "protein_coding" "utr" "chr1-182275772-182276746" "chr1-182266071-182266427" 9344
"ENSMUSE00000648039" "ENSMUST00000041804" "Lmtk2" "ENSMUSG00000038970" "protein_coding" "exon" "chr5-144100436-144100776" "chr5-144084402-144084936" 15499
"ENSMUSE00000378432" "ENSMUST00000043094" "Itln1" "ENSMUSG00000038209" "protein_coding" "exon" "chr1-171535221-171535294" "chr1-171539994-171541598" 4699
