"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUSE00000417710" "ENSMUST00000022718" "Ednrb" "ENSMUSG00000022122" "protein_coding" "exon" "chr14-103844127-103844173" "chr14-103937664-103938668" 93490
"ENSMUST00000164666" "ENSMUST00000164666" "Mcc" "ENSMUSG00000071856" "protein_coding" "gap" "chr18-44534301-44661697" "chr18-44642851-44644339" 0
"ENSMUSE00000846703" "ENSMUST00000157568" "Gm23905" "ENSMUSG00000088193" "rRNA" "exon" "chr17-83947588-83947696" "chr17-83997681-84001673" 49984
"ENSMUST00000150459" "ENSMUST00000150459" "1500009L16Rik" "ENSMUSG00000087651" "protein_coding" "utr" "chr10-83761918-83762761" "chr10-83984441-83985923" 221679
"ENSMUSE00000702181" "ENSMUST00000115244" "Col19a1" "ENSMUSG00000026141" "protein_coding" "exon" "chr1-24587350-24587472" "chr1-24612270-24613355" 24797
"ENSMUST00000177125" "ENSMUST00000177125" "Fam107b" "ENSMUSG00000026655" "protein_coding" "gap" "chr2-3713637-3772795" "chr2-3748471-3750088" 0
"ENSMUST00000110306" "ENSMUST00000110306" "Dpys" "ENSMUSG00000022304" "protein_coding" "gap" "chr15-39793435-39824165" "chr15-39813419-39814575" 0
"ENSMUST00000114174" "ENSMUST00000114174" "Cyyr1" "ENSMUSG00000041134" "protein_coding" "utr" "chr16-85452858-85457514" "chr16-85454964-85455615" 0
"ENSMUST00000178948" "ENSMUST00000178948" "Gm21967" "ENSMUSG00000094114" "protein_coding" "utr" "chr13-119609528-119610458" "chr13-119612835-119617785" 2376
"ENSMUSE00000593244" "ENSMUST00000094348" "1700084C01Rik" "ENSMUSG00000070532" "protein_coding" "exon" "chr1-169928648-169929003" "chr1-169916630-169919940" 8707
"ENSMUST00000050702" "ENSMUST00000050702" "Ptprq" "ENSMUSG00000035916" "protein_coding" "gap" "chr10-107667524-107685037" "chr10-107668334-107669375" 0
"ENSMUST00000069799" "ENSMUST00000069799" "Irs1" "ENSMUSG00000055980" "protein_coding" "utr" "chr1-82233101-82237604" "chr1-82150666-82151516" 81584
"ENSMUST00000121083" "ENSMUST00000121083" "Fam115a" "ENSMUSG00000036667" "protein_coding" "utr" "chr6-42692933-42693087" "chr6-42691945-42693375" 0
"ENSMUST00000079081" "ENSMUST00000079081" "Aqp4" "ENSMUSG00000024411" "protein_coding" "cds" "chr18-15403600-15403631" "chr18-15402432-15403877" 0
"ENSMUST00000081747" "ENSMUST00000081747" "0610040J01Rik" "ENSMUSG00000060512" "protein_coding" "gap" "chr5-63812596-63876449" "chr5-63825615-63828177" 0
"ENSMUST00000069799.1" "ENSMUST00000069799" "Irs1" "ENSMUSG00000055980" "protein_coding" "cds" "chr1-82286798-82290493" "chr1-82289980-82292103" 0
"ENSMUSE00000806331" "ENSMUST00000127206" "Rgs2" "ENSMUSG00000026360" "protein_coding" "exon" "chr1-144004009-144004161" "chr1-144018358-144019100" 14196
"ENSMUSE00000340571" "ENSMUST00000053218" "Dact2" "ENSMUSG00000048826" "protein_coding" "exon" "chr17-14203514-14203831" "chr17-14233604-14235856" 29772
"ENSMUSE00001164741" "ENSMUST00000181547" "4933440J02Rik" "ENSMUSG00000097082" "lincRNA" "exon" "chr10-111586719-111587481" "chr10-111558189-111560551" 26167
"ENSMUST00000189845" "ENSMUST00000189845" "D830032E09Rik" "ENSMUSG00000100457" "lincRNA" "gap" "chr1-107941812-107949148" "chr1-107941632-107942382" 0
"ENSMUST00000099149" "ENSMUST00000099149" "Nnt" "ENSMUSG00000025453" "protein_coding" "utr" "chr13-119335448-119336256" "chr13-119333700-119334517" 930
"ENSMUST00000188912" "ENSMUST00000188912" "Pbx1" "ENSMUSG00000052534" "protein_coding" "gap" "chr1-168209596-168427868" "chr1-168307413-168308254" 0
"ENSMUSE00000833713" "ENSMUST00000114943" "Dcc" "ENSMUSG00000060534" "protein_coding" "exon" "chr18-72350356-72351069" "chr18-72918424-72919384" 567354
"ENSMUSE00000615887" "ENSMUST00000071858" "Hpcal1" "ENSMUSG00000071379" "protein_coding" "exon" "chr12-17690814-17691046" "chr12-17665628-17667033" 23780
"ENSMUSE00000787267" "ENSMUST00000134580" "3110099E03Rik" "ENSMUSG00000085582" "lincRNA" "exon" "chr2-115493513-115496007" "chr2-115488347-115488926" 4586
"ENSMUST00000034150" "ENSMUST00000034150" "Gab1" "ENSMUSG00000031714" "protein_coding" "gap" "chr8-80800396-80879531" "chr8-80869706-80871337" 0
"ENSMUST00000131834" "ENSMUST00000131834" "Myo10" "ENSMUSG00000022272" "protein_coding" "utr" "chr15-25758765-25759151" "chr15-25758175-25760083" 0
"ENSMUST00000146056" "ENSMUST00000146056" "Fam185a" "ENSMUSG00000047221" "protein_coding" "gap" "chr5-21438839-21447315" "chr5-21440799-21441648" 0
