"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUSE00000867594" "ENSMUST00000160592" "Hes1" "ENSMUSG00000022528" "protein_coding" "exon" "chr16-30064384-30064536" "chr16-30048870-30053981" 10402
"ENSMUSE00001331414" "ENSMUST00000187233" "1700012I11Rik" "ENSMUSG00000102069" "lincRNA" "exon" "chr15-67376912-67377094" "chr15-67467363-67468048" 90268
"ENSMUST00000056617" "ENSMUST00000056617" "Gpr133" "ENSMUSG00000044017" "protein_coding" "gap" "chr5-129122591-129128853" "chr5-129123522-129124412" 0
"ENSMUSE00001326549" "ENSMUST00000189978" "2310008N11Rik" "ENSMUSG00000100335" "lincRNA" "exon" "chr8-26824214-26824423" "chr8-26840126-26841781" 15702
"ENSMUST00000124096" "ENSMUST00000124096" "Fgfr2" "ENSMUSG00000030849" "protein_coding" "utr" "chr7-130162451-130163958" "chr7-130042125-130045121" 117329
"ENSMUST00000193931" "ENSMUST00000193931" "Kif26b" "ENSMUSG00000026494" "protein_coding" "gap" "chr1-178530791-178678825" "chr1-178600209-178601607" 0
"ENSMUSE00000693288" "ENSMUST00000086722" "Tmem232" "ENSMUSG00000045036" "protein_coding" "exon" "chr17-65540710-65540782" "chr17-65548501-65549176" 7718
"ENSMUST00000135806" "ENSMUST00000135806" "1700011I03Rik" "ENSMUSG00000058925" "protein_coding" "gap" "chr18-57594136-57730714" "chr18-57604094-57605473" 0
"ENSMUSE00000431811" "ENSMUST00000070481" "Ppp1r3b" "ENSMUSG00000046794" "protein_coding" "exon" "chr8-35375741-35375805" "chr8-35193751-35194302" 181438
"ENSMUST00000135747" "ENSMUST00000135747" "Zmat4" "ENSMUSG00000037492" "protein_coding" "gap" "chr8-23701109-23748399" "chr8-23731307-23733385" 0
"ENSMUSE00000345114" "ENSMUST00000048788" "BC027231" "ENSMUSG00000036208" "protein_coding" "exon" "chr16-44724301-44724468" "chr16-44665406-44666972" 57328
"ENSMUST00000111963" "ENSMUST00000111963" "Etv6" "ENSMUSG00000030199" "protein_coding" "utr" "chr6-134266475-134270158" "chr6-134292309-134293036" 22150
"ENSMUST00000107166" "ENSMUST00000107166" "Tenm4" "ENSMUSG00000048078" "protein_coding" "cds" "chr7-96902845-96902987" "chr7-96901920-96905075" 0
"ENSMUST00000021920" "ENSMUST00000021920" "Sptlc1" "ENSMUSG00000021468" "protein_coding" "gap" "chr13-53337726-53342171" "chr13-53338742-53339671" 0
"ENSMUST00000141252" "ENSMUST00000141252" "Sgms1" "ENSMUSG00000040451" "protein_coding" "gap" "chr19-32352024-32388219" "chr19-32362231-32363087" 0
"ENSMUSE00000791543" "ENSMUST00000151682" "Cdon" "ENSMUSG00000038119" "protein_coding" "exon" "chr9-35421128-35421183" "chr9-35412234-35413440" 7687
"ENSMUST00000164648" "ENSMUST00000164648" "Etv6" "ENSMUSG00000030199" "protein_coding" "gap" "chr6-134036139-134137287" "chr6-134091256-134092022" 0
"ENSMUST00000108114" "ENSMUST00000108114" "Hnf1b" "ENSMUSG00000020679" "protein_coding" "cds" "chr11-83882653-83882813" "chr11-83882450-83884157" 0
"ENSMUSE00000252478" "ENSMUST00000023707" "Sod1" "ENSMUSG00000022982" "protein_coding" "exon" "chr16-90220742-90220929" "chr16-90180973-90182283" 38458
"ENSMUSE00000838813" "ENSMUST00000134627" "Gm15271" "ENSMUSG00000086148" "lincRNA" "exon" "chr10-24447490-24448023" "chr10-24380807-24381240" 66249
"ENSMUST00000075774" "ENSMUST00000075774" "Tubb2b" "ENSMUSG00000045136" "protein_coding" "cds" "chr13-34130177-34130233" "chr13-34128232-34132526" 0
"ENSMUST00000181784" "ENSMUST00000181784" "Gm26529" "ENSMUSG00000097585" "protein_coding" "utr" "chr7-89981250-89981848" "chr7-90026361-90027074" 44512
"ENSMUSE00001331414.1" "ENSMUST00000187233" "1700012I11Rik" "ENSMUSG00000102069" "lincRNA" "exon" "chr15-67376912-67377094" "chr15-67514985-67515788" 137890
"ENSMUST00000160832" "ENSMUST00000160832" "Zdhhc19" "ENSMUSG00000052363" "protein_coding" "gap" "chr16-32558410-32561745" "chr16-32559289-32559974" 0
"ENSMUST00000114233" "ENSMUST00000114233" "Htra3" "ENSMUSG00000029096" "protein_coding" "gap" "chr5-35671132-35678943" "chr5-35672126-35674917" 0
"ENSMUST00000170833" "ENSMUST00000170833" "Hk2" "ENSMUSG00000000628" "protein_coding" "gap" "chr6-82749338-82760103" "chr6-82756062-82758852" 0
"ENSMUST00000168302" "ENSMUST00000168302" "Stat4" "ENSMUSG00000062939" "protein_coding" "utr" "chr1-51996262-51996349" "chr1-51996308-51997508" 0
"ENSMUST00000031787" "ENSMUST00000031787" "Evx1" "ENSMUSG00000005503" "protein_coding" "utr" "chr6-52317100-52318378" "chr6-52417277-52417925" 98898
"ENSMUSE00000755364" "ENSMUST00000025800" "Pip5k1b" "ENSMUSG00000024867" "protein_coding" "exon" "chr19-24555765-24555872" "chr19-24606346-24608508" 50473
"ENSMUSE00000554113" "ENSMUST00000088735" "Olfm4" "ENSMUSG00000022026" "protein_coding" "exon" "chr14-80000302-80000504" "chr14-79981094-79982262" 18039
