"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000031281" "ENSMUST00000031281" "Antxr2" "ENSMUSG00000029338" "protein_coding" "gap" "chr5-97980035-98003226" "chr5-97995995-97997144" 0
"ENSMUSE00001336980" "ENSMUST00000193395" "RP23-204C6.1" "ENSMUSG00000103692" "lincRNA" "exon" "chr1-194222429-194222759" "chr1-194308480-194309021" 85720
"ENSMUST00000079755" "ENSMUST00000079755" "Gm5148" "ENSMUSG00000058174" "protein_coding" "utr" "chr3-37714190-37714604" "chr3-37695888-37696180" 18009
"ENSMUST00000176176" "ENSMUST00000176176" "Zfp169" "ENSMUSG00000050954" "protein_coding" "utr" "chr13-48487647-48489201" "chr13-48436438-48437864" 49782
"ENSMUST00000185823" "ENSMUST00000185823" "Muc2" "ENSMUSG00000025515" "protein_coding" "cds" "chr7-141700798-141700929" "chr7-141697615-141700813" 0
"ENSMUST00000153360" "ENSMUST00000153360" "Ino80c" "ENSMUSG00000047989" "protein_coding" "utr" "chr18-24104757-24106526" "chr18-24101397-24102957" 1799
"ENSMUST00000187945" "ENSMUST00000187945" "Muc2" "ENSMUSG00000025515" "protein_coding" "cds" "chr7-141754315-141754537" "chr7-141754121-141757360" 0
"ENSMUST00000162021" "ENSMUST00000162021" "Tpsg1" "ENSMUSG00000033200" "protein_coding" "cds" "chr17-25370652-25370700" "chr17-25369969-25371378" 0
"ENSMUST00000115052" "ENSMUST00000115052" "Fam107b" "ENSMUSG00000026655" "protein_coding" "gap" "chr2-3648286-3772795" "chr2-3678918-3679163" 0
"ENSMUST00000071402" "ENSMUST00000071402" "Elovl6" "ENSMUSG00000041220" "protein_coding" "utr" "chr3-129633491-129638495" "chr3-129649969-129650681" 11473
"ENSMUST00000185113" "ENSMUST00000185113" "Vps13d" "ENSMUSG00000020220" "protein_coding" "gap" "chr4-145144882-145148316" "chr4-145146958-145148056" 0
"ENSMUST00000076903" "ENSMUST00000076903" "Olfr945" "ENSMUSG00000063380" "protein_coding" "cds" "chr9-39257720-39258679" "chr9-39253482-39253800" 3919
"ENSMUST00000034172" "ENSMUST00000034172" "Ces1d" "ENSMUSG00000056973" "protein_coding" "utr" "chr8-93166068-93166254" "chr8-93159406-93160009" 6058
"ENSMUST00000180464" "ENSMUST00000180464" "Gm26596" "ENSMUSG00000097185" "protein_coding" "utr" "chr10-112929237-112931155" "chr10-112983717-112984241" 52561
"ENSMUST00000141443" "ENSMUST00000141443" "Atp8a1" "ENSMUSG00000037685" "protein_coding" "cds" "chr5-67815716-67815853" "chr5-67815482-67816134" 0
"ENSMUST00000152189" "ENSMUST00000152189" "Ntpcr" "ENSMUSG00000031851" "protein_coding" "gap" "chr8-125737420-125745235" "chr8-125741726-125742552" 0
"ENSMUSE00000344159" "ENSMUST00000026378" "Padi1" "ENSMUSG00000025329" "protein_coding" "exon" "chr4-140845560-140845778" "chr4-140854245-140855009" 8466
"ENSMUSE00000867546" "ENSMUST00000162075" "Txndc5" "ENSMUSG00000038991" "protein_coding" "exon" "chr13-38528552-38528824" "chr13-38559375-38559879" 30550
"ENSMUSE00000722412" "ENSMUST00000122531" "n-R5s155" "ENSMUSG00000084480" "rRNA" "exon" "chr7-90293734-90293846" "chr7-90284684-90285567" 8166
"ENSMUST00000074615" "ENSMUST00000074615" "Gm5426" "ENSMUSG00000096486" "protein_coding" "cds" "chr10-96136603-96136914" "chr10-96220775-96221111" 83860
"ENSMUST00000115052.1" "ENSMUST00000115052" "Fam107b" "ENSMUSG00000026655" "protein_coding" "gap" "chr2-3648286-3772795" "chr2-3659252-3660102" 0
"ENSMUSE00000613670" "ENSMUST00000089017" "Fndc3a" "ENSMUSG00000033487" "protein_coding" "exon" "chr14-72709718-72710003" "chr14-72750474-72751226" 40470
"ENSMUSE00001245976" "ENSMUST00000029910" "Nsmaf" "ENSMUSG00000028245" "protein_coding" "exon" "chr4-6453985-6454271" "chr4-6472737-6473163" 18465
"ENSMUST00000024866" "ENSMUST00000024866" "Xdh" "ENSMUSG00000024066" "protein_coding" "gap" "chr17-73918558-73920392" "chr17-73918790-73919468" 0
"ENSMUST00000178228" "ENSMUST00000178228" "C2cd4c" "ENSMUSG00000045912" "protein_coding" "utr" "chr10-79606857-79612051" "chr10-79607212-79608953" 0
"ENSMUST00000164309" "ENSMUST00000164309" "Mcm5" "ENSMUSG00000005410" "protein_coding" "utr" "chr8-75127325-75128439" "chr8-75154711-75156212" 26271
"ENSMUST00000108089" "ENSMUST00000108089" "Bag1" "ENSMUSG00000028416" "protein_coding" "utr" "chr4-40936398-40936586" "chr4-40933062-40935185" 1212
"ENSMUST00000173099" "ENSMUST00000173099" "Mcf2l" "ENSMUSG00000031442" "protein_coding" "gap" "chr8-12915496-12963163" "chr8-12940267-12942015" 0
"ENSMUST00000156876" "ENSMUST00000156876" "Mfsd6" "ENSMUSG00000041439" "protein_coding" "gap" "chr1-52676576-52708163" "chr1-52683579-52684776" 0
"ENSMUST00000080371" "ENSMUST00000080371" "Mtss1" "ENSMUSG00000022353" "protein_coding" "gap" "chr15-59058423-59081455" "chr15-59058913-59059599" 0
"ENSMUSE00000843424" "ENSMUST00000124362" "Arid1b" "ENSMUSG00000069729" "protein_coding" "exon" "chr17-4994332-4994399" "chr17-4769085-4770409" 223922
"ENSMUST00000085109" "ENSMUST00000085109" "Ttc8" "ENSMUSG00000021013" "protein_coding" "cds" "chr12-98974642-98974781" "chr12-98974127-98974732" 0
"ENSMUSE00001318487" "ENSMUST00000185385" "Gm29290" "ENSMUSG00000100014" "lincRNA" "exon" "chr1-153941001-153941290" "chr1-153957821-153958469" 16530
