"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000153576" "ENSMUST00000153576" "Prmt1" "ENSMUSG00000052429" "protein_coding" "cds" "chr7-44986283-44986318" "chr7-44985421-44987766" 0
"ENSMUST00000179998" "ENSMUST00000179998" "Rab40c" "ENSMUSG00000025730" "protein_coding" "cds" "chr17-25919365-25919506" "chr17-25919033-25920929" 0
"ENSMUST00000001479" "ENSMUST00000001479" "Kpnb1" "ENSMUSG00000001440" "protein_coding" "cds" "chr11-97187546-97187585" "chr11-97186753-97189083" 0
"ENSMUSE00000794129" "ENSMUST00000145413" "Gm14487" "ENSMUSG00000085275" "lincRNA" "exon" "chr2-30538180-30539022" "chr2-30544854-30546072" 5831
"ENSMUST00000148595" "ENSMUST00000148595" "Tmem57" "ENSMUSG00000028826" "protein_coding" "cds" "chr4-134853038-134853117" "chr4-134851917-134854528" 0
"ENSMUST00000182200" "ENSMUST00000182200" "Rbm4b" "ENSMUSG00000033760" "protein_coding" "utr" "chr19-4756581-4756661" "chr19-4755500-4757228" 0
"ENSMUST00000071213" "ENSMUST00000071213" "Polr2a" "ENSMUSG00000005198" "protein_coding" "cds" "chr11-69758131-69758223" "chr11-69757775-69759975" 0
"ENSMUST00000174882" "ENSMUST00000174882" "Hnrnpl" "ENSMUSG00000015165" "protein_coding" "cds" "chr7-28813345-28813397" "chr7-28807723-28813664" 0
"ENSMUST00000000291" "ENSMUST00000000291" "Mnt" "ENSMUSG00000000282" "protein_coding" "cds" "chr11-74831329-74831401" "chr11-74829530-74833445" 0
"ENSMUST00000190862" "ENSMUST00000190862" "Brca1" "ENSMUSG00000017146" "protein_coding" "utr" "chr11-101551526-101551582" "chr11-101551429-101553787" 0
"ENSMUST00000145664" "ENSMUST00000145664" "Arid1a" "ENSMUSG00000007880" "protein_coding" "cds" "chr4-133752469-133753611" "chr4-133751374-133755105" 0
"ENSMUST00000021956" "ENSMUST00000021956" "Ddx41" "ENSMUSG00000021494" "protein_coding" "cds" "chr13-55536481-55536507" "chr13-55535244-55537246" 0
"ENSMUST00000154232" "ENSMUST00000154232" "Brd2" "ENSMUSG00000024335" "protein_coding" "cds" "chr17-34118606-34118631" "chr17-34116698-34124362" 0
"ENSMUST00000127279" "ENSMUST00000127279" "Stmn1" "ENSMUSG00000028832" "protein_coding" "utr" "chr4-134468406-134468429" "chr4-134467294-134469589" 0
"ENSMUST00000150779" "ENSMUST00000150779" "Msi1" "ENSMUSG00000054256" "protein_coding" "cds" "chr5-115430804-115430888" "chr5-115429179-115433428" 0
"ENSMUST00000067996" "ENSMUST00000067996" "Set" "ENSMUSG00000054766" "protein_coding" "cds" "chr2-30066821-30066893" "chr2-30065788-30067739" 0
