"tx_id" "gene_name" "gene_id" "gene_biotype" "type" "closest_region" "query_region" "distance"
"ENSMUST00000150881" "ENSMUST00000150881" "Mfn2" "ENSMUSG00000029020" "protein_coding" "gap" "chr4-147898643-147903354" "chr4-147900294-147900981" 0
"ENSMUST00000034537" "ENSMUST00000034537" "St3gal4" "ENSMUSG00000032038" "protein_coding" "cds" "chr9-35054063-35054123" "chr9-35038811-35054129" 0
"ENSMUSE00000886813" "ENSMUST00000168362" "Snd1" "ENSMUSG00000001424" "protein_coding" "exon" "chr6-28475139-28475207" "chr6-28469704-28471019" 4119
"ENSMUST00000137139" "ENSMUST00000137139" "Plbd1" "ENSMUSG00000030214" "protein_coding" "gap" "chr6-136617403-136634430" "chr6-136631510-136631964" 0
"ENSMUST00000021050" "ENSMUST00000021050" "Adap2" "ENSMUSG00000020709" "protein_coding" "gap" "chr11-80170762-80174087" "chr11-80171633-80172347" 0
"ENSMUST00000188394" "ENSMUST00000188394" "Bok" "ENSMUSG00000026278" "protein_coding" "cds" "chr1-93694060-93694070" "chr1-93692044-93694350" 0
"ENSMUST00000141404" "ENSMUST00000141404" "Tfg" "ENSMUSG00000022757" "protein_coding" "gap" "chr16-56705695-56712610" "chr16-56710107-56710498" 0
"ENSMUST00000016106" "ENSMUST00000016106" "1700016C15Rik" "ENSMUSG00000015962" "protein_coding" "gap" "chr1-177741091-177743253" "chr1-177742163-177742470" 0
"ENSMUST00000161114" "ENSMUST00000161114" "Slc37a2" "ENSMUSG00000032122" "protein_coding" "gap" "chr9-37241961-37255298" "chr9-37244399-37246877" 0
"ENSMUST00000024717" "ENSMUST00000024717" "Tbc1d5" "ENSMUSG00000023923" "protein_coding" "gap" "chr17-50874709-50917526" "chr17-50915272-50915579" 0
"ENSMUSE00000707401" "ENSMUST00000070166" "Gramd3" "ENSMUSG00000001700" "protein_coding" "exon" "chr18-56432132-56432357" "chr18-56415375-56416412" 15719
"ENSMUST00000023555" "ENSMUST00000023555" "Hspbap1" "ENSMUSG00000022849" "protein_coding" "gap" "chr16-35801719-35813917" "chr16-35813195-35813545" 0
"ENSMUST00000168419" "ENSMUST00000168419" "Cndp2" "ENSMUSG00000024644" "protein_coding" "cds" "chr18-84677319-84677407" "chr18-84676533-84677596" 0
"ENSMUST00000163536" "ENSMUST00000163536" "Slc2a2" "ENSMUSG00000027690" "protein_coding" "cds" "chr3-28705730-28705822" "chr3-28705481-28706955" 0
"ENSMUSE00000833713" "ENSMUST00000114943" "Dcc" "ENSMUSG00000060534" "protein_coding" "exon" "chr18-72350356-72351069" "chr18-72591911-72592315" 240841
"ENSMUSE00000861641" "ENSMUST00000078019" "Dab2" "ENSMUSG00000022150" "protein_coding" "exon" "chr15-6299788-6299899" "chr15-6025305-6026037" 273750
"ENSMUST00000027232" "ENSMUST00000027232" "Ptp4a1" "ENSMUSG00000026064" "protein_coding" "utr" "chr1-30940302-30943205" "chr1-30937348-30938069" 2232
"ENSMUST00000152705" "ENSMUST00000152705" "Elmod3" "ENSMUSG00000056698" "protein_coding" "gap" "chr6-72587686-72594739" "chr6-72590038-72590929" 0
"ENSMUSE00000191743" "ENSMUST00000031713" "Slc13a1" "ENSMUSG00000029700" "protein_coding" "exon" "chr6-24167966-24168092" "chr6-24261436-24261891" 93343
"ENSMUST00000025198" "ENSMUST00000025198" "Btnl2" "ENSMUSG00000024340" "protein_coding" "utr" "chr17-34368729-34369493" "chr17-34369759-34371156" 265
"ENSMUST00000019060" "ENSMUST00000019060" "Csf2" "ENSMUSG00000018916" "protein_coding" "utr" "chr11-54247271-54247587" "chr11-54242458-54243358" 3912
"ENSMUST00000029194" "ENSMUST00000029194" "Skil" "ENSMUSG00000027660" "protein_coding" "utr" "chr3-31118614-31122577" "chr3-31129368-31130405" 6790
"ENSMUSE00001172231" "ENSMUST00000181189" "2310010J17Rik" "ENSMUSG00000097162" "lincRNA" "exon" "chr7-90124858-90125032" "chr7-90098177-90098654" 26203
"ENSMUST00000148327" "ENSMUST00000148327" "6430710C18Rik" "ENSMUSG00000085427" "lincRNA" "gap" "chr2-72792276-72800069" "chr2-72796976-72797708" 0
"ENSMUST00000071535" "ENSMUST00000071535" "Mgam" "ENSMUSG00000068587" "protein_coding" "gap" "chr6-40643103-40644819" "chr6-40644137-40644706" 0
"ENSMUST00000176499" "ENSMUST00000176499" "Cdca7l" "ENSMUSG00000021175" "protein_coding" "gap" "chr12-117804387-117834154" "chr12-117823900-117824224" 0
"ENSMUST00000120087" "ENSMUST00000120087" "Samd9l" "ENSMUSG00000047735" "protein_coding" "gap" "chr6-3377282-3399267" "chr6-3389893-3390476" 0
"ENSMUSE00000856910" "ENSMUST00000161490" "Prkg2" "ENSMUSG00000029334" "protein_coding" "exon" "chr5-99036923-99037351" "chr5-99062559-99063049" 25207
"ENSMUST00000156316" "ENSMUST00000156316" "Ablim1" "ENSMUSG00000025085" "protein_coding" "gap" "chr19-57173460-57314692" "chr19-57310030-57310355" 0
"ENSMUST00000072818" "ENSMUST00000072818" "Ugt2b38" "ENSMUSG00000061906" "protein_coding" "utr" "chr5-87409942-87410207" "chr5-87379747-87380636" 29305
"ENSMUST00000152427" "ENSMUST00000152427" "Hadh" "ENSMUSG00000027984" "protein_coding" "gap" "chr3-131249932-131271875" "chr3-131255299-131255973" 0
"ENSMUST00000045450" "ENSMUST00000045450" "Ints7" "ENSMUSG00000037461" "protein_coding" "utr" "chr1-191621465-191623688" "chr1-191639190-191640560" 15501
"ENSMUST00000117462" "ENSMUST00000117462" "Rhod" "ENSMUSG00000041845" "protein_coding" "gap" "chr19-4432856-4439219" "chr19-4436159-4436641" 0
"ENSMUSE00000497844" "ENSMUST00000031741" "Cyp3a13" "ENSMUSG00000029727" "protein_coding" "exon" "chr5-137921442-137921619" "chr5-137936488-137936999" 14868
"ENSMUST00000156071" "ENSMUST00000156071" "Lhfpl2" "ENSMUSG00000045312" "protein_coding" "gap" "chr13-94083602-94120776" "chr13-94093904-94095012" 0
"ENSMUST00000183224" "ENSMUST00000183224" "Birc6" "ENSMUSG00000024073" "protein_coding" "gap" "chr17-74566175-74573572" "chr17-74571271-74571905" 0
"ENSMUST00000042970" "ENSMUST00000042970" "Kcnj2" "ENSMUSG00000041695" "protein_coding" "utr" "chr11-111073071-111076821" "chr11-111239867-111240643" 163045
"ENSMUST00000032518" "ENSMUST00000032518" "Clec2h" "ENSMUSG00000030364" "protein_coding" "utr" "chr6-128675929-128677374" "chr6-128678856-128680022" 1481
"ENSMUST00000011152" "ENSMUST00000011152" "Mcoln2" "ENSMUSG00000011008" "protein_coding" "utr" "chr3-146194792-146195513" "chr3-146205097-146205692" 9583
"ENSMUST00000106247" "ENSMUST00000106247" "Adh6a" "ENSMUSG00000053054" "protein_coding" "utr" "chr3-138330981-138331134" "chr3-138331796-138332757" 661
"ENSMUST00000162777" "ENSMUST00000162777" "Tnik" "ENSMUSG00000027692" "protein_coding" "gap" "chr3-28359057-28493966" "chr3-28467514-28468244" 0
"ENSMUST00000156134" "ENSMUST00000156134" "Slc35c2" "ENSMUSG00000017664" "protein_coding" "utr" "chr2-165283369-165283535" "chr2-165283406-165284847" 0
"ENSMUST00000178704" "ENSMUST00000178704" "Ddc" "ENSMUSG00000020182" "protein_coding" "gap" "chr11-11846703-11863650" "chr11-11851238-11851580" 0
"ENSMUSE00001325716" "ENSMUST00000190550" "1700081H04Rik" "ENSMUSG00000100573" "lincRNA" "exon" "chr5-119108234-119108715" "chr5-118982963-118983309" 124924
"ENSMUST00000113726" "ENSMUST00000113726" "Rbm47" "ENSMUSG00000070780" "protein_coding" "utr" "chr5-66016549-66019205" "chr5-66013943-66014704" 1844
"ENSMUSE00001276794" "ENSMUST00000029658" "Enpep" "ENSMUSG00000028024" "protein_coding" "exon" "chr3-129331862-129332720" "chr3-129346045-129346813" 13324
"ENSMUST00000166650" "ENSMUST00000166650" "Ptprh" "ENSMUSG00000035429" "protein_coding" "cds" "chr7-4603048-4603098" "chr7-4602143-4605602" 0
"ENSMUST00000026462" "ENSMUST00000026462" "Hsd17b6" "ENSMUSG00000025396" "protein_coding" "utr" "chr10-127990941-127991247" "chr10-127954943-127955496" 35444
"ENSMUST00000088386" "ENSMUST00000088386" "Slc15a1" "ENSMUSG00000025557" "protein_coding" "utr" "chr14-121459621-121460581" "chr14-121437079-121437480" 22140
"ENSMUST00000042125" "ENSMUST00000042125" "Ttll4" "ENSMUSG00000033257" "protein_coding" "utr" "chr1-74697700-74703730" "chr1-74698812-74699282" 0
"ENSMUSE00000711276" "ENSMUST00000121725" "Gda" "ENSMUSG00000058624" "protein_coding" "exon" "chr19-21473388-21473445" "chr19-21487088-21488052" 13642
"ENSMUST00000032192" "ENSMUST00000032192" "Itpr1" "ENSMUSG00000030102" "protein_coding" "gap" "chr6-108423366-108431460" "chr6-108429895-108430766" 0
"ENSMUSE00000457984" "ENSMUST00000067492" "Fabp1" "ENSMUSG00000054422" "protein_coding" "exon" "chr6-71199827-71199993" "chr6-71172733-71173564" 26262
"ENSMUST00000046807" "ENSMUST00000046807" "Slc16a9" "ENSMUSG00000037762" "protein_coding" "gap" "chr10-70245379-70255959" "chr10-70251361-70251537" 0
"ENSMUST00000166497" "ENSMUST00000166497" "Abhd6" "ENSMUSG00000025277" "protein_coding" "gap" "chr14-8045626-8049573" "chr14-8046728-8047339" 0
"ENSMUST00000043150" "ENSMUST00000043150" "Acsl5" "ENSMUSG00000024981" "protein_coding" "gap" "chr19-55254167-55268643" "chr19-55257438-55259735" 0
"ENSMUSE00000831489" "ENSMUST00000075299" "Ppargc1b" "ENSMUSG00000033871" "protein_coding" "exon" "chr18-61400290-61400431" "chr18-61421060-61423632" 20628
"ENSMUSE00000862428" "ENSMUST00000059449" "Ces2b" "ENSMUSG00000050097" "protein_coding" "exon" "chr8-104831572-104831747" "chr8-104815558-104816111" 15460
"ENSMUSE00000802896" "ENSMUST00000153175" "4930401O12Rik" "ENSMUSG00000087460" "lincRNA" "exon" "chr13-31213410-31213956" "chr13-31177938-31179910" 33499
"ENSMUST00000039959" "ENSMUST00000039959" "1810046K07Rik" "ENSMUSG00000036027" "protein_coding" "utr" "chr9-51318281-51318383" "chr9-51318320-51318503" 0
"ENSMUSE00000523146" "ENSMUST00000083988" "n-R5-8s1" "ENSMUSG00000065922" "rRNA" "exon" "chr18-73533403-73533550" "chr18-73242150-73243050" 290352
"ENSMUST00000169232" "ENSMUST00000169232" "Lypd6" "ENSMUSG00000050447" "protein_coding" "gap" "chr2-50128535-50165468" "chr2-50149206-50150984" 0
"ENSMUST00000194933" "ENSMUST00000194933" "Nudt5" "ENSMUSG00000025817" "protein_coding" "gap" "chr2-5845386-5853512" "chr2-5849791-5850215" 0
"ENSMUST00000051301" "ENSMUST00000051301" "Pura" "ENSMUSG00000043991" "protein_coding" "utr" "chr18-36288128-36301521" "chr18-36317555-36317942" 16033
"ENSMUST00000113807" "ENSMUST00000113807" "Trub2" "ENSMUSG00000039826" "protein_coding" "gap" "chr2-29761689-29779822" "chr2-29773100-29774098" 0
"ENSMUSE00001325716.1" "ENSMUST00000190550" "1700081H04Rik" "ENSMUSG00000100573" "lincRNA" "exon" "chr5-119108234-119108715" "chr5-119074048-119074598" 33635
